sample,fastq_1,fastq_2,replicate
Pre-Abx,RawData/A0812_CKDL220009900-1a_HHK7FBBXX_L5_1.fq.gz,RawData/A0812_CKDL220009900-1a_HHK7FBBXX_L5_2.fq.gz,1
Pre-Abx,RawData/Lib1A091_CKDL210029856-1a_HH55VBBXX_L2_1.fq.gz,RawData/Lib1A091_CKDL210029856-1a_HH55VBBXX_L2_2.fq.gz,2
Pre-Abx,RawData/A0912_CKDL220009902-1a_HHK7FBBXX_L5_1.fq.gz,RawData/A0912_CKDL220009902-1a_HHK7FBBXX_L5_2.fq.gz,2
Pre-Abx,RawData/A1112_CKDL220009906-1a_HHK7FBBXX_L5_1.fq.gz,RawData/A1112_CKDL220009906-1a_HHK7FBBXX_L5_2.fq.gz,3
Post-Abx,RawData/A0822_CKDL220009901-1a_HHK7FBBXX_L5_1.fq.gz,RawData/A0822_CKDL220009901-1a_HHK7FBBXX_L5_2.fq.gz,1
Post-Abx,RawData/Lib1A092_CKDL210029857-1a_HH55VBBXX_L2_1.fq.gz,RawData/Lib1A092_CKDL210029857-1a_HH55VBBXX_L2_2.fq.gz,2
Post-Abx,RawData/A0922_CKDL220009903-1a_HHK7FBBXX_L5_1.fq.gz,RawData/A0922_CKDL220009903-1a_HHK7FBBXX_L5_2.fq.gz,2
Post-Abx,RawData/A1121_CKDL220009907-1a_HHK7FBBXX_L5_1.fq.gz,RawData/A1121_CKDL220009907-1a_HHK7FBBXX_L5_2.fq.gz,3
